,hash,block_number,from_address,to_address,OFAC sanctioned address interacted,sanctioned_type,merge,delay,included_in_block_num
20,0x27fc889487f8009a1186facbd988b0b11389328d23f4ca56c7c5b7c4af203d11,15470405,0x916184b55672ec7ed5f2bbf6abb3c91ecd4990c0,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,17.100117,15470405.0
21,0x0545baa1cbcb3623afc32cf0635ba9543169f8e96744bc58fbb855fbec4bc641,15470410,0x916184b55672ec7ed5f2bbf6abb3c91ecd4990c0,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,7.979164,15470410.0
22,0xa49b4aae2eca42757b485f87185774bb3d1d7265baeb312f73ca5c63eb1bb894,15470417,0x916184b55672ec7ed5f2bbf6abb3c91ecd4990c0,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,6.11098,15470417.0
23,0xef91d5cf5c5f868d91469c4a1ad1820ce80921754dbf61e98932abb490b76561,15470414,0x916184b55672ec7ed5f2bbf6abb3c91ecd4990c0,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,6.673903,15470414.0
24,0x7baf083b0e3dc3fcc150ca3776b13386fef83453eaa75be4a905ff4a992613c6,15470424,0x916184b55672ec7ed5f2bbf6abb3c91ecd4990c0,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,8.16473,15470424.0
25,0x4e5d7ba634369b6db8c2637d37b8e2a4fd3464079e3ca0f3031c37837a244b6e,15470427,0x916184b55672ec7ed5f2bbf6abb3c91ecd4990c0,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,8.036275,15470427.0
26,0x7e721b773ea49f839262a53c89c93e6981c18f355060ad5459526f871e40887a,15470441,0x90d1a87ead6e1effcacbe46a9e5886352c90f1a7,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,10.358586,15470441.0
27,0x64069011af684f9a8cb1227dcdf4cdd3812d9af018af210687170d4768ac9976,15470445,0x54e4a517b5fd8cb5db7dc30603c3810918974663,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,18.724752,15470445.0
28,0xd1e51c39e8c81de5d283df0b63b3904084e407b52bfe6f5cbc91ae3f0254a0ef,15470447,0x54e4a517b5fd8cb5db7dc30603c3810918974663,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,20.217653,15470447.0
29,0xfb9e9d43b8eb104918d402f8420b6d3923b7f24fefd588c1dbd51b3ce94dc0d2,15470449,0x54e4a517b5fd8cb5db7dc30603c3810918974663,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,18.431435,15470449.0
30,0xb641675a64692553ff3a69b0a8630a3995bc1ef05aafc2d395fd435e2284f348,15470451,0x54e4a517b5fd8cb5db7dc30603c3810918974663,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,16.117512,15470451.0
31,0x157e7d56ce2e77a360a674c02e685d19731a2ab686731a67131aa49d56a7d87a,15470453,0x54e4a517b5fd8cb5db7dc30603c3810918974663,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,45.252485,15470453.0
32,0x716ea810d7a546caf15f367b204e00a477dcf54018b3f966d90e05d109580f9b,15470457,0x54e4a517b5fd8cb5db7dc30603c3810918974663,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,2.871463,15470457.0
33,0x0905fa811230db1dce0a705f93f198b1c166922acf463a338ff8ec4f86342ba8,15470433,0x90d1a87ead6e1effcacbe46a9e5886352c90f1a7,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,to_address,0,33.771287,15470433.0
